ID,Requirement Name,Detailed Requirement,Category,Applicable Scope,Requested By,Priority,Business Value / Rationale,Acceptance Criteria,Current Assessment,SystemPrompt Fit,Gap / Action Required,Owner,Status,Validation Method,Documentation Reference,Notes,Ed's comments
REQ-011,Spend Overrun Early Warning,"As a Business, I shall be able to track AI spend per team, department, product or project in real time for early-warning control, so that budget owners can detect overruns before invoice time when corrective action is no longer possible",FinOps / Governance,Global / Enterprise,Oleksandr Manatskyi,P1 – High,Budget owners can detect overruns before invoice time when corrective action is no longer possible.,Budget owners can identify current spend and receive an actionable early-warning signal before the accounting period closes when spend is trending beyond the expected level.,Partial,"Real-time cost data exists, but the source analysis did not find spend-trajectory forecasting or proactive forecast-based notification.",Design/confirm forecast-based budget early-warning logic and notification mechanism.,"Ed / SystemPrompt, Astound",Open,Simulated budget burn + forecast/alert test,https://systemprompt.io/documentation,,
REQ-012,Soft Budget Alerts,"As a Business, I shall be able to set and enforce soft budget alerts per team, department, product or project, so that budget owners are notified before a limit is reached without disrupting production service",FinOps / Governance,Global / Enterprise,Oleksandr Manatskyi,P1 – High,Budget owners are notified before a limit is reached without disrupting production service.,A configurable soft threshold can be set for an agreed scope and triggers an alert without blocking production traffic.,Partial,"Documentation indicates budget alerts; code confirms quota enforcement, but a non-blocking owner notification path such as email/webhook was not evidenced.",Confirm non-blocking soft alert channels and scope; add email/webhook/dashboard alerting if missing.,"Ed / SystemPrompt, Astound",Open,Threshold configuration + non-blocking notification test,https://systemprompt.io/documentation,,
REQ-013,Hard Budget Cutoffs,"As a Business, I shall be able to set and enforce hard budget cutoffs per team, department, product or project for non-production-facing workloads, so that no team can create unbudgeted financial exposure for the org",FinOps / Governance,Global / Enterprise,Oleksandr Manatskyi,P2 – Medium,No team can create unbudgeted financial exposure for the org.,A configurable hard threshold can be set for an agreed scope and blocks further eligible AI consumption when the limit is reached.,Partial,"Quota windows can enforce request/token ceilings, but the source analysis did not evidence team/project dollar-budget cutoffs.",Define budget scope model and implement dollar-based hard cutoffs where required.,"Ed / SystemPrompt, Astound",Open,Budget breach + enforcement test,https://systemprompt.io/documentation,,
REQ-014,Spend Burndown Forecasting,"As a Business, I shall be able to receive alerts when spend trajectories exceed forecast before the period closes (burndown forecasting), so that budget owners can intervene mid-cycle rather than discovering overrun retroactively",FinOps / Governance,Global / Enterprise,Oleksandr Manatskyi,P1 – High,Budget owners can intervene mid-cycle rather than discovering overrun retroactively.,The platform projects period-end spend from current burn rate and alerts when projected spend exceeds the configured budget/forecast.,Gap,No period-end spend forecast or burndown projection capability was evidenced.,Add spend forecasting/burndown capability or integrate an external FinOps analytics layer.,"Ed / SystemPrompt, Astound",Open,Forecast calculation + alert trigger test,https://systemprompt.io/documentation,,
REQ-015,Self-Service Cost Reporting,"As a Business, I shall be able to generate self-service, on-demand cost reports sliced by team, department, product, project, model, or provider over any date range, so that budget owners and finance can answer ad hoc spend questions without filing a request to engineering",FinOps / Analytics,Global / Enterprise,Oleksandr Manatskyi,P1 – High,Budget owners and finance can answer ad hoc spend questions without filing a request to engineering.,Authorized users can generate cost reports for any supported date range and slice them by the required organizational and model dimensions without engineering support.,Supported,Cost analytics are queryable by user/tenant/model/provider; organizational slices beyond those dimensions require agreed metadata.,Validate self-service reporting UI/API and required dimensions/date slicing.,"Ed / SystemPrompt, Astound",Open,Ad hoc report generation across dimensions/date ranges,https://systemprompt.io/documentation,,
REQ-016,Scheduled Cost & Budget Digests,"As a Business, I shall be able to schedule recurring cost and budget-utilization digests (e.g., weekly, monthly) delivered to budget owners and finance stakeholders, so that spend visibility doesn't depend on someone remembering to check a dashboard",FinOps / Analytics,Global / Enterprise,Oleksandr Manatskyi,P3 – Low,Spend visibility doesn't depend on someone remembering to check a dashboard.,Recurring cost/budget digests can be scheduled and delivered automatically to configured recipients at defined intervals.,Gap / unclear,Recurring scheduled delivery was not evidenced in code and requires confirmation or extension.,Add scheduled digest capability or integrate with reporting/notification tooling.,"Ed / SystemPrompt, Astound",Open,Scheduled delivery test,https://systemprompt.io/documentation,,
REQ-017,Provider Cost Comparison,"As a Business, I shall be able to compare cost across model providers for quality-normalized equivalent tasks, so that the org can identify savings opportunities",FinOps / Optimization,Global / Enterprise,Oleksandr Manatskyi,P1 – High,The org can identify savings opportunities.,Equivalent workloads can be compared across providers/models using cost and an agreed quality baseline.,Supported,Cost/model/provider dimensions are available. Quality-normalized comparison still requires evaluation/quality data.,Define a quality-normalization method and expose provider/model comparison reporting.,"Ed / SystemPrompt, Astound",Open,Equivalent-task provider comparison,https://systemprompt.io/documentation,,
REQ-018,Cost / Quality / Latency Model Optimization,"As a Business, I shall be able to determine the optimal model for a given task to balance cost/quality/latency trade-offs, so that spend is concentrated on tasks where model capability materially affects outcome quality",FinOps / Optimization,Global / Enterprise,Oleksandr Manatskyi,P1 – High,Spend is concentrated on tasks where model capability materially affects outcome quality.,"Routing or recommendations can identify the preferred model for a task using configurable cost, quality, and latency criteria.",Partial,"Routing and cost telemetry exist, but no fully automatic optimizer balancing quality, latency, and cost was evidenced.",Define optimization policy and determine whether recommendation/routing logic belongs in SystemPrompt or an evaluation layer.,"Ed / SystemPrompt, Astound",Open,Routing recommendation / policy test,https://systemprompt.io/documentation,,
REQ-019,Tenant-Isolated Semantic Caching,"As a Business, I shall be able to eliminate redundant API calls through tenant-isolated semantic caching, so that repeated or near-identical queries reduce cost at volume without leaking one customer's cached data into another's context",FinOps / Optimization,Global / Enterprise,Oleksandr Manatskyi,P1 – High,Repeated or near-identical queries reduce cost at volume without leaking one customer's cached data into another's context.,"Repeated or semantically equivalent requests can use a tenant-isolated cache, with no cross-tenant data leakage and measurable cache-hit savings.",Gap,No tenant-isolated semantic cache capability was evidenced in the source analysis.,Evaluate build/integration of a secure tenant-isolated semantic cache.,"Ed / SystemPrompt, Astound",Open,Cross-tenant cache-isolation + hit-rate test,https://systemprompt.io/documentation,,
REQ-020,Model Provider Abstraction,"As a Business, I shall be able to abstract application code from any single model provider's API, so that the org retains negotiating leverage and low switching cost rather than facing vendor lock-in",FinOps / Optimization,Global / Enterprise,Oleksandr Manatskyi,P2 – Medium,The org retains negotiating leverage and low switching cost rather than facing vendor lock-in.,Applications use a provider-neutral gateway/API so models/providers can be changed without application-layer rewrites.,Supported,Gateway/provider abstraction is supported and reduces direct provider coupling.,Validate provider substitution with Core/Commerce clients and document the supported compatibility contract.,"Ed / SystemPrompt, Astound",Open,Provider swap compatibility test,https://systemprompt.io/documentation,,
REQ-021,Central Model Access Policy,"As a Business, I shall be able to define which teams and applications can access which models under which conditions, so that access decisions are centrally auditable and revocable rather than scattered across unmanaged credentials",Identity & Access / Security,Global / Enterprise,Oleksandr Manatskyi,P1 – High,Access decisions are centrally auditable and revocable rather than scattered across unmanaged credentials.,Central policy controls which users/teams/applications may access which models and under what conditions; decisions are auditable and revocable.,Supported with scoping caveat,Central rules/ACLs are evidenced for user/role and governed entities. Team/application policy may require metadata or additional first-class scoping.,Define enterprise access-policy dimensions and close gaps for team/application/project scoping.,"Ed / SystemPrompt, Astound",Open,RBAC/ACL policy matrix test,https://systemprompt.io/documentation,,
REQ-022,Governed Virtual Keys,"As a Business, I shall be able to manage virtual keys with budget and rate-limit assignments per team or per customer without exposing raw model provider credentials, so that a leaked or misused key has bounded blast radius",Identity & Access / Security,Global / Enterprise,Oleksandr Manatskyi,P1 – High,A leaked or misused key has bounded blast radius.,"Administrators can issue revocable virtual credentials with scoped access, rate limits, and budget constraints without exposing provider credentials.",Partial,"PATs are revocable and rate tiers exist, but there is no evidenced virtual-key object combining explicit budget and rate-limit assignment.","Decide whether virtual keys are required; if yes, add a credential object with budget/rate-limit policy.","Ed / SystemPrompt, Astound",Open,Credential issuance/revocation/rate/budget test,https://systemprompt.io/documentation,,
REQ-023,Enterprise SSO Provisioning,"As a Business, I shall be able to onboard and offboard access to AI capabilities through the existing identity provider (SSO), not ad-hoc key distribution, so that access management centrally managed",Identity & Access / Security,Global / Enterprise,Oleksandr Manatskyi,P1 – High,Access management centrally managed.,Users are onboarded/offboarded through the enterprise identity provider; access removal in the IdP removes SystemPrompt access without manual key cleanup.,Supported,"OAuth2/OIDC with PKCE, WebAuthn, and session/IdP-backed access are evidenced.",Integrate with Astound IdP and validate provisioning/deprovisioning flows.,"Ed / SystemPrompt, Astound",Open,SSO login + deprovisioning test,https://systemprompt.io/documentation,,
REQ-024,Shadow AI Detection & Blocking,"As a Business, I shall be able to detect and block unauthorized or shadow AI usage, so that ungoverned model usage doesn't create data leakage, compliance, or cost exposure outside IT/security visibility",Identity & Access / Security,Global / Enterprise,Oleksandr Manatskyi,P1 – High,"Ungoverned model usage doesn't create data leakage, compliance, or cost exposure outside IT/security visibility.","Unauthorized or unmanaged AI use can be detected and, where policy requires, blocked or escalated through the governed platform.",Supported,Governance/audit enforcement and managed allowlists provide a foundation for detecting and restricting ungoverned use.,Define detection coverage for direct/non-gateway AI use and determine enforcement controls outside SystemPrompt.,"Ed / SystemPrompt, Astound",Open,Governed vs ungoverned traffic detection test,https://systemprompt.io/documentation,,
REQ-025,Time-Bound External Access,"As a Business, I shall be able to grant time-bound or scoped access to specific models for contractors or external teams, so that external access automatically expires without relying on manual revocation discipline",Identity & Access / Security,Global / Enterprise,Oleksandr Manatskyi,P2 – Medium,External access automatically expires without relying on manual revocation discipline.,External/contractor access can be scoped and configured to expire automatically at a defined time without manual revocation.,Partial,"Token expiration/revocation exists, but no dedicated scoped time-bound entitlement lifecycle object was evidenced.",Add explicit expiring grants/entitlements if token expiry is insufficient for contractor governance.,"Ed / SystemPrompt, Astound",Open,Timed-access expiry test,https://systemprompt.io/documentation,,
REQ-026,Immutable AI Audit Trail,"As a Business, I shall be able to produce an immutable audit trail of every model call (who, what model, what prompt, when, what was returned), so that the org can reconstruct incidents after the fact or demostrate compliance",Observability / Security,Global / Enterprise,Oleksandr Manatskyi,P1 – High,The org can reconstruct incidents after the fact or demostrate compliance.,"Every model call produces an immutable audit record containing actor, time, model/provider, request/response lineage, policy decision, and relevant consumption metadata.",Supported,AI request and governance decision records provide detailed traceable audit data.,"Validate retention, immutability, payload protection, and audit export requirements.","Ed / SystemPrompt, Astound",Open,Audit completeness + tamper/retention review,https://systemprompt.io/documentation,,
REQ-027,End-to-End AI Request Traceability,"As a Business, I shall be able to trace end-to-end request flows across model calls, tool invocations, and downstream systems, so that root-cause analysis doesn't require manual log correlation across disconnected systems",Observability / Security,Global / Enterprise,Oleksandr Manatskyi,P1 – High,Root-cause analysis doesn't require manual log correlation across disconnected systems.,"A single trace identifier correlates the originating request, model calls, tool/MCP calls, downstream actions, outcomes, and cost.",Supported,"Trace IDs correlate inference and tool/MCP execution, enabling end-to-end lineage.","Run trace-lineage tests across model, MCP/tool, and downstream system calls.","Ed / SystemPrompt, Astound",Open,Trace propagation / lineage test,https://systemprompt.io/documentation,,
REQ-028,Enterprise Observability Export,"As a Business, I shall be able to feed AI telemetry into the existing observability stack (Datadog, Splunk, LGTM) via OTEL as a single standard protocol, so that AI operations are monitored with the same tooling and on-call processes as the rest of production",Observability / Security,Global / Enterprise,Oleksandr Manatskyi,P1 – High,AI operations are monitored with the same tooling and on-call processes as the rest of production.,AI telemetry can be exported into Astound's standard observability/SIEM stack using an agreed supported protocol and mapped into existing monitoring processes.,Partial,Structured SIEM/observability export is evidenced; a distinct OTEL implementation path requires validation.,Confirm OTEL compatibility; otherwise standardize supported JSON/SIEM export integration.,"Ed / SystemPrompt, Astound",Open,Telemetry export integration test,https://systemprompt.io/documentation,,
REQ-029,Model / Use-Case Latency SLOs,"As a Business, I shall be able to report on latency SLOs per model and per use case, so that routing and provider decisions are made on measured performance rather than vendor claims",Observability / Security,Global / Enterprise,Oleksandr Manatskyi,P3 – Low,Routing and provider decisions are made on measured performance rather than vendor claims.,"Latency can be reported against defined SLOs by model and use case, with sufficient data to compare providers/routes objectively.",Partial,"Latency is captured, but use-case SLO definition, thresholding, and SLO-specific reporting are not productized.",Define latency SLOs and add SLO reporting/alerting by model/use-case.,"Ed / SystemPrompt, Astound",Open,Latency SLO report + threshold test,https://systemprompt.io/documentation,,
REQ-030,Central Content Safety Guardrails,"As a Business, I shall be able to apply consistent content safety guardrails (prompt injection detection, jailbreak attempts, toxic output blocking) regardless of which team built the application, so that security and brand-risk controls aren't dependent on individual team diligence",Observability / Security,Global / Enterprise,Oleksandr Manatskyi,P1 – High,Security and brand-risk controls aren't dependent on individual team diligence.,"A centrally managed safety policy is enforced consistently for all governed applications and detects/blocks agreed categories such as prompt injection, jailbreak attempts, secrets, PII, and unsafe output.",Partial,Code evidences jailbreak and limited PII heuristics plus pre-dispatch blocking. Full toxicity/PII taxonomy and response-side blocking are not evidenced.,Define required safety taxonomy and extend prompt/output guardrails beyond current heuristic coverage.,"Ed / SystemPrompt, Astound",Open,Safety adversarial test suite,https://systemprompt.io/documentation,,
REQ-031,AI Usage Anomaly Detection,"As a Business, I shall be able to detect anomalies in model usage patterns (volume spikes, unusual prompt structures, cost outliers), so that cost, security, or quality incidents are caught proactively rather than discovered downstream",Observability / Security,Global / Enterprise,Oleksandr Manatskyi,P1 – High,"Cost, security, or quality incidents are caught proactively rather than discovered downstream.","The platform detects configured usage anomalies such as volume spikes, error spikes, unusual behavior, or cost outliers and surfaces actionable alerts.",Supported in code / documentation gap,Code includes anomaly thresholds and trend/spike detection although this capability is not clearly surfaced in public documentation.,Expose anomaly detection operationally and validate alert thresholds/action routing.,"Ed / SystemPrompt, Astound",Open,Synthetic anomaly injection test,https://systemprompt.io/documentation,,
REQ-032,Automatic Provider Failover,"As a Business, I shall be able to failover automatically to a secondary model provider when a primary provider is unavailable without application code changes, so that provider outages don't translate into application downtime or emergency engineering response",Gateway / Reliability,Global / Enterprise,Oleksandr Manatskyi,P2 – Medium,Provider outages don't translate into application downtime or emergency engineering response.,"When the primary provider fails, eligible traffic automatically fails over to an approved secondary provider without application code changes.",Partial,"Fallback/failover exists on provider errors, but proactive health-check-driven failover was not evidenced.",Run provider-failure tests and decide whether proactive provider health checks are required.,"Ed / SystemPrompt, Astound",Open,Provider outage/failure-injection test,https://systemprompt.io/documentation,,
REQ-033,Per-Consumer LLM Rate Limiting,"As a Business, I shall be able to rate-limit LLM traffic per consumer, so that one team or runaway agent cannot exhaust org-wide provider quotas or internal budgets and degrade service for everyone else",Gateway / Reliability,Global / Enterprise,Oleksandr Manatskyi,P1 – High,One team or runaway agent cannot exhaust org-wide provider quotas or internal budgets and degrade service for everyone else.,Rate limits can be applied per agreed consumer boundary so one user/team/agent/application cannot exhaust shared provider capacity.,Supported,Tiered request rate limiting is supported; team/department-specific boundaries require confirmation.,Define consumer identity/scoping and validate isolation under load.,"Ed / SystemPrompt, Astound",Open,Load and rate-limit isolation test,https://systemprompt.io/documentation,,
REQ-034,Private / Self-Hosted Model Routing,"As a Business, I shall be able to route requests to self-hosted or private cloud models for workloads that cannot leave the network boundary, so that data residency, regulatory, or security requirements are met without forgoing AI capability entirely",Gateway / Reliability,Global / Enterprise,Oleksandr Manatskyi,P2 – Medium,"Data residency, regulatory, or security requirements are met without forgoing AI capability entirely.",Eligible workloads can be routed to self-hosted/private endpoints with no unintended public-provider egress.,Supported,Self-hosted/private routing and air-gapped patterns are supported.,"Validate approved private endpoints, network controls, and no-egress scenarios.","Ed / SystemPrompt, Astound",Open,Private endpoint / network-egress test,https://systemprompt.io/documentation,,
REQ-035,A/B Model & Provider Testing,"As a Business, I shall be able to A/B test model versions or providers on live traffic without application-layer changes, so that routing and procurement decisions are based on production evidence rather than benchmark claims or vendor marketing",Gateway / Reliability,Global / Enterprise,Oleksandr Manatskyi,P3 – Low,Routing and procurement decisions are based on production evidence rather than benchmark claims or vendor marketing.,Administrators can split eligible live traffic between model/provider variants and measure results without application code changes.,Gap,No percentage traffic splitting / experiment-assignment mechanism was evidenced.,Implement experiment traffic splitting and measurement if A/B testing remains in scope.,"Ed / SystemPrompt, Astound",Open,Traffic-split experiment test,https://systemprompt.io/documentation,,
REQ-036,PII / PHI Detection & Redaction,"As a Business, I shall be able to detect and redact PII/PHI in prompts and completions before they leave the org boundary or are persisted to logs, so that sensitive data exposure and regulatory violations are prevented at the gateway layer rather than relying on every application team to implement it independently",Data Governance / Security,Global / Enterprise,Oleksandr Manatskyi,P1 – High,Sensitive data exposure and regulatory violations are prevented at the gateway layer rather than relying on every application team to implement it independently.,Configured sensitive-data categories are detected and redacted or blocked before external transmission and before persistence where required.,Partial,"Email and credit-card detection/blocking are evidenced, but full PII/PHI coverage and completion-side redaction are not.",Define enterprise PII/PHI taxonomy and implement complete request/response redaction or blocking.,"Ed / SystemPrompt, Astound",Open,PII/PHI redaction adversarial test,https://systemprompt.io/documentation,,
REQ-037,Data Residency Routing,"As a Business, I shall be able to enforce data residency by routing requests to region-specific or sovereign model instances based on data classification, so that customer or regulatory data never crosses a jurisdictional boundary it isn't permitted to cross",Data Governance / Security,Global / Enterprise,Oleksandr Manatskyi,P1 – High,Customer or regulatory data never crosses a jurisdictional boundary it isn't permitted to cross.,Routing rules can enforce that classified workloads remain within the configured jurisdiction/region/sovereign endpoint.,Supported,Regional/private/self-hosted routing provides the residency foundation; data-classification-to-route policy should be validated explicitly.,"Closed 2026-08-25: classification = governance booleans (european, no_retain) on gateway model YAML; route requires: enforced at boot + dispatch.","Ed / SystemPrompt, Astound",Testing/Delivered,Regional routing / residency policy test,https://astound.systemprompt.io/documentation/enterprise-model-routing,,
REQ-038,Provider No-Train / No-Retain Policy Enforcement,"As a Business, I shall be able to enforce that requests are only routed to model providers with a contractually agreed no-train / no-retain clause when handling classified data, so that submitted prompts and completions cannot be used by a provider to train or improve their models in violation of the org's data agreements",Data Governance / Security,Global / Enterprise,Oleksandr Manatskyi,P2 – Medium,Submitted prompts and completions cannot be used by a provider to train or improve their models in violation of the org's data agreements.,Policy can prevent classified requests from being routed to providers that do not satisfy the configured no-train/no-retain contractual requirement.,Supported,No policy link between data classification and provider contractual no-train/no-retain terms was evidenced.,Closed 2026-08-25: provider no-train/no-retain is governance metadata on the provider/model; routes with requires: {no_retain: true} cannot reach a retaining provider.,"Ed / SystemPrompt, Astound",Testing/Delivered,Classified-data provider-policy test,https://astound.systemprompt.io/documentation/enterprise-model-routing,,
REQ-039,Prompt & System Message Versioning / Rollback,"As a Business, I shall be able to version and roll back prompts and system messages independently of application deploys, so that a prompt-level fix or regression can be corrected without requiring every consuming application to redeploy",Configuration / Lifecycle,Global / Enterprise,Oleksandr Manatskyi,P2 – Medium,A prompt-level fix or regression can be corrected without requiring every consuming application to redeploy.,"Prompt/system-message versions are centrally versioned, deployable, auditable, and rollbackable independently of application release cycles.",Gap,Current source analysis indicates the older prompt/playbook versioning subsystem was removed; no first-class prompt rollback primitive is evidenced.,Design a first-class prompt configuration/version lifecycle if independent rollback is required.,"Ed / SystemPrompt, Astound",Open,Prompt version deploy + rollback test,https://systemprompt.io/documentation,,
REQ-040,Central Prompt Template Distribution,"As a Business, I shall be able to centrally manage and distribute prompt templates across consuming applications, so that a security or quality fix can be applied once rather than requiring coordinated changes across every application team",Configuration / Lifecycle,Global / Enterprise,Oleksandr Manatskyi,P2 – Medium,A security or quality fix can be applied once rather than requiring coordinated changes across every application team.,Approved prompt templates can be centrally managed and distributed to consuming applications with controlled updates/revocation.,Partial,"Central signed-manifest distribution exists for skills/plugins, but prompt templates are not evidenced as a distinct first-class lifecycle object.",Define whether prompt distribution will use skills or needs a dedicated prompt-template registry.,"Ed / SystemPrompt, Astound",Open,Central template publish/update/revoke test,https://systemprompt.io/documentation,,
REQ-041,Pre-Execution Tool Governance,"As a Business, I shall be able to enforce permission, secret-exposure, and rate-limit checks on every tool call an agent makes before the underlying action executes, so that a misconfigured or compromised agent cannot take an unauthorized action just because it has model access",MCP / Tool & Agent Governance,Global / Enterprise,Oleksandr Manatskyi,P1 – High,A misconfigured or compromised agent cannot take an unauthorized action just because it has model access.,"Every agent/tool invocation passes required authorization, secret-exposure, safety, and rate-limit checks before the underlying action executes.",Supported,Governance checks are enforced synchronously before dispatch and denied calls are audited.,Validate every relevant tool path goes through pre-execution governance and audit.,"Ed / SystemPrompt, Astound",Open,Unauthorized tool-call negative test,https://systemprompt.io/documentation,,
REQ-042,Governed MCP Server Registry,"As a Business, I shall be able to register, authenticate, and govern every MCP server an agent can connect to, with a signed and centrally revocable allowlist, so that tool access for autonomous agents is controlled with the same rigor as model access",MCP / Tool & Agent Governance,Global / Enterprise,Oleksandr Manatskyi,P1 – High,Tool access for autonomous agents is controlled with the same rigor as model access.,"Every MCP server is centrally registered, authenticated, allowlisted, auditable, and revocable before agents can connect to it.",Supported,"MCP allowlisting, authentication/scopes, auditability, and central revocation are evidenced.","Validate MCP lifecycle operations, revocation propagation, and emergency kill-switch behavior.","Ed / SystemPrompt, Astound",Open,MCP registration/auth/revocation test,https://systemprompt.io/documentation,,
