ID,Requirement Name,Detailed Requirement,Category,Applicable Scope,Requested By,Priority,Business Value / Rationale,Acceptance Criteria,Current Assessment,SystemPrompt Fit,Gap / Action Required,Owner,Status,Validation Method,Documentation Reference,Notes,Ed's comments
REQ-011,Spend Overrun Early Warning,"As a Business, I shall be able to track AI spend per team, department, product or project in real time for early-warning control, so that budget owners can detect overruns before invoice time when corrective action is no longer possible",FinOps / Governance,Global / Enterprise,Oleksandr Manatskyi,P1 – High,Budget owners can detect overruns before invoice time when corrective action is no longer possible.,Budget owners can identify current spend and receive an actionable early-warning signal before the accounting period closes when spend is trending beyond the expected level.,Partial,"Real-time cost data exists, but the source analysis did not find spend-trajectory forecasting or proactive forecast-based notification.",Design/confirm forecast-based budget early-warning logic and notification mechanism.,"Ed / SystemPrompt, Astound",Open,Simulated budget burn + forecast/alert test,https://astound.systemprompt.io/documentation/enterprise-cost-management,Projection is a linear run-rate and labelled as such; no projection fires in the first 3 days of a month to avoid noise.,Delivered - linear month-end projection computed continuously on the request path; the first projected-overrun crossing per org per month is recorded and Slack-alerted.
REQ-012,Soft Budget Alerts,"As a Business, I shall be able to set and enforce soft budget alerts per team, department, product or project, so that budget owners are notified before a limit is reached without disrupting production service",FinOps / Governance,Global / Enterprise,Oleksandr Manatskyi,P1 – High,Budget owners are notified before a limit is reached without disrupting production service.,A configurable soft threshold can be set for an agreed scope and triggers an alert without blocking production traffic.,Partial,"Documentation indicates budget alerts; code confirms quota enforcement, but a non-blocking owner notification path such as email/webhook was not evidenced.",Confirm non-blocking soft alert channels and scope; add email/webhook/dashboard alerting if missing.,"Ed / SystemPrompt, Astound",Open,Threshold configuration + non-blocking notification test,https://astound.systemprompt.io/documentation/enterprise-cost-management,Alert channel is Slack today; tell us if email/webhook delivery is required and to where.,"Delivered - configurable soft threshold per org plan, non-blocking, alert fires on the transition (once), not per request."
REQ-013,Hard Budget Cutoffs,"As a Business, I shall be able to set and enforce hard budget cutoffs per team, department, product or project for non-production-facing workloads, so that no team can create unbudgeted financial exposure for the org",FinOps / Governance,Global / Enterprise,Oleksandr Manatskyi,P2 – Medium,No team can create unbudgeted financial exposure for the org.,A configurable hard threshold can be set for an agreed scope and blocks further eligible AI consumption when the limit is reached.,Partial,"Quota windows can enforce request/token ceilings, but the source analysis did not evidence team/project dollar-budget cutoffs.",Define budget scope model and implement dollar-based hard cutoffs where required.,"Ed / SystemPrompt, Astound",Open,Budget breach + enforcement test,https://astound.systemprompt.io/documentation/enterprise-cost-management,Per-team/project cutoffs need the Hub/team definition (REQ-006). Note quota windows also give a per-user hourly cost ceiling as a runaway backstop.,"Delivered at organization scope - dollar-based monthly hard cap, enforced with 429."
REQ-014,Spend Burndown Forecasting,"As a Business, I shall be able to receive alerts when spend trajectories exceed forecast before the period closes (burndown forecasting), so that budget owners can intervene mid-cycle rather than discovering overrun retroactively",FinOps / Governance,Global / Enterprise,Oleksandr Manatskyi,P1 – High,Budget owners can intervene mid-cycle rather than discovering overrun retroactively.,The platform projects period-end spend from current burn rate and alerts when projected spend exceeds the configured budget/forecast.,Gap,No period-end spend forecast or burndown projection capability was evidenced.,Add spend forecasting/burndown capability or integrate an external FinOps analytics layer.,"Ed / SystemPrompt, Astound",Open,Forecast calculation + alert trigger test,https://astound.systemprompt.io/documentation/enterprise-cost-management,,Delivered together with REQ-011 - burn-up chart plus projection-vs-cap early warning before period close.
REQ-015,Self-Service Cost Reporting,"As a Business, I shall be able to generate self-service, on-demand cost reports sliced by team, department, product, project, model, or provider over any date range, so that budget owners and finance can answer ad hoc spend questions without filing a request to engineering",FinOps / Analytics,Global / Enterprise,Oleksandr Manatskyi,P1 – High,Budget owners and finance can answer ad hoc spend questions without filing a request to engineering.,Authorized users can generate cost reports for any supported date range and slice them by the required organizational and model dimensions without engineering support.,Supported,Cost analytics are queryable by user/tenant/model/provider; organizational slices beyond those dimensions require agreed metadata.,Validate self-service reporting UI/API and required dimensions/date slicing.,"Ed / SystemPrompt, Astound",Open,Ad hoc report generation across dimensions/date ranges,https://astound.systemprompt.io/documentation/enterprise-cost-management,"Slices available: org, department, user, model, provider, date range. Team/project slicing pends REQ-006.","Delivered - CLI reports with arbitrary date ranges + CSV export, and new CSV download endpoints/buttons in the admin web UI (P&L by org/provider/model; usage by user/department/model), org-scoped."
REQ-016,Scheduled Cost & Budget Digests,"As a Business, I shall be able to schedule recurring cost and budget-utilization digests (e.g., weekly, monthly) delivered to budget owners and finance stakeholders, so that spend visibility doesn't depend on someone remembering to check a dashboard",FinOps / Analytics,Global / Enterprise,Oleksandr Manatskyi,P3 – Low,Spend visibility doesn't depend on someone remembering to check a dashboard.,Recurring cost/budget digests can be scheduled and delivered automatically to configured recipients at defined intervals.,Gap / unclear,Recurring scheduled delivery was not evidenced in code and requires confirmation or extension.,Add scheduled digest capability or integrate with reporting/notification tooling.,"Ed / SystemPrompt, Astound",Open,Scheduled delivery test,https://astound.systemprompt.io/documentation/enterprise-cost-management,Cadence and channel are config; email delivery possible as a follow-up if required.,"Delivered - weekly digest job (Monday 08:00 UTC) posting per-org MTD spend vs cap, pace, and trailing-week volume to Slack."
REQ-017,Provider Cost Comparison,"As a Business, I shall be able to compare cost across model providers for quality-normalized equivalent tasks, so that the org can identify savings opportunities",FinOps / Optimization,Global / Enterprise,Oleksandr Manatskyi,P1 – High,The org can identify savings opportunities.,Equivalent workloads can be compared across providers/models using cost and an agreed quality baseline.,Supported,Cost/model/provider dimensions are available. Quality-normalized comparison still requires evaluation/quality data.,Define a quality-normalization method and expose provider/model comparison reporting.,"Ed / SystemPrompt, Astound",Open,Equivalent-task provider comparison,https://astound.systemprompt.io/documentation/enterprise-cost-management,DECISION NEEDED: 'quality-normalized' comparison is untestable without an agreed quality baseline (an eval set / definition of equivalent tasks). Provide one and we wire the comparison; without it this stays cost-only.,Cost side delivered - provider/model cost + margin breakdown in the internal report and CLI.
REQ-018,Cost / Quality / Latency Model Optimization,"As a Business, I shall be able to determine the optimal model for a given task to balance cost/quality/latency trade-offs, so that spend is concentrated on tasks where model capability materially affects outcome quality",FinOps / Optimization,Global / Enterprise,Oleksandr Manatskyi,P1 – High,Spend is concentrated on tasks where model capability materially affects outcome quality.,"Routing or recommendations can identify the preferred model for a task using configurable cost, quality, and latency criteria.",Partial,"Routing and cost telemetry exist, but no fully automatic optimizer balancing quality, latency, and cost was evidenced.",Define optimization policy and determine whether recommendation/routing logic belongs in SystemPrompt or an evaluation layer.,"Ed / SystemPrompt, Astound",Open,Routing recommendation / policy test,https://astound.systemprompt.io/documentation/enterprise-model-routing,Blocked on the same quality baseline as REQ-017; once defined we can decide whether recommendation logic lives in the gateway or an eval layer.,"Partially delivered - declarative routing on request shape plus a programmatic route-selector seam, with full cost/latency telemetry to decide from. No automatic optimizer."
REQ-019,Tenant-Isolated Semantic Caching,"As a Business, I shall be able to eliminate redundant API calls through tenant-isolated semantic caching, so that repeated or near-identical queries reduce cost at volume without leaking one customer's cached data into another's context",FinOps / Optimization,Global / Enterprise,Oleksandr Manatskyi,P1 – High,Repeated or near-identical queries reduce cost at volume without leaking one customer's cached data into another's context.,"Repeated or semantically equivalent requests can use a tenant-isolated cache, with no cross-tenant data leakage and measurable cache-hit savings.",Gap,No tenant-isolated semantic cache capability was evidenced in the source analysis.,Evaluate build/integration of a secure tenant-isolated semantic cache.,"Ed / SystemPrompt, Astound",Open,Cross-tenant cache-isolation + hit-rate test,https://astound.systemprompt.io/documentation/enterprise-roadmap,"A project of its own (~4-6 wks to build: embeddings, per-tenant vector partitions, similarity/invalidation policy, cross-tenant leakage proof). DECISION NEEDED: build vs integrate an existing semantic cache - and confirm the expected traffic actually has enough near-duplicate queries to pay for it.",Not delivered - no semantic cache exists (provider prompt-caching passthrough is not a tenant cache).
REQ-020,Model Provider Abstraction,"As a Business, I shall be able to abstract application code from any single model provider's API, so that the org retains negotiating leverage and low switching cost rather than facing vendor lock-in",FinOps / Optimization,Global / Enterprise,Oleksandr Manatskyi,P2 – Medium,The org retains negotiating leverage and low switching cost rather than facing vendor lock-in.,Applications use a provider-neutral gateway/API so models/providers can be changed without application-layer rewrites.,Supported,Gateway/provider abstraction is supported and reduces direct provider coupling.,Validate provider substitution with Core/Commerce clients and document the supported compatibility contract.,"Ed / SystemPrompt, Astound",Open,Provider swap compatibility test,https://astound.systemprompt.io/documentation/enterprise-model-routing,,"Delivered and proven in production - claude-* traffic already redirects to alternate providers with zero application changes. Two inbound API surfaces, four wire protocols, upstream model rewrite."
REQ-021,Central Model Access Policy,"As a Business, I shall be able to define which teams and applications can access which models under which conditions, so that access decisions are centrally auditable and revocable rather than scattered across unmanaged credentials",Identity & Access / Security,Global / Enterprise,Oleksandr Manatskyi,P1 – High,Access decisions are centrally auditable and revocable rather than scattered across unmanaged credentials.,Central policy controls which users/teams/applications may access which models and under what conditions; decisions are auditable and revocable.,Supported with scoping caveat,Central rules/ACLs are evidenced for user/role and governed entities. Team/application policy may require metadata or additional first-class scoping.,Define enterprise access-policy dimensions and close gaps for team/application/project scoping.,"Ed / SystemPrompt, Astound",Open,RBAC/ACL policy matrix test,https://astound.systemprompt.io/documentation/enterprise-model-routing,Application-level (non-human) scoping rides service accounts today; first-class app identities can be added if a concrete case appears.,"Delivered - central per-role/org/department model entitlements enforced at the gateway (403), auditable and revocable, with an admin access-matrix UI."
REQ-022,Governed Virtual Keys,"As a Business, I shall be able to manage virtual keys with budget and rate-limit assignments per team or per customer without exposing raw model provider credentials, so that a leaked or misused key has bounded blast radius",Identity & Access / Security,Global / Enterprise,Oleksandr Manatskyi,P1 – High,A leaked or misused key has bounded blast radius.,"Administrators can issue revocable virtual credentials with scoped access, rate limits, and budget constraints without exposing provider credentials.",Partial,"PATs are revocable and rate tiers exist, but there is no evidenced virtual-key object combining explicit budget and rate-limit assignment.","Decide whether virtual keys are required; if yes, add a credential object with budget/rate-limit policy.","Ed / SystemPrompt, Astound",Open,Credential issuance/revocation/rate/budget test,https://astound.systemprompt.io/documentation/enterprise-user-access,"DECISION NEEDED - explore the concrete use cases: what are you actually trying to achieve per key? If each application/customer gets its own platform account, today's per-user enforcement already gives per-app budgets and this row is met. If you genuinely need many keys per identity with per-key policy, that is a ~2-week core change. Send the scenarios and we will map adapt-vs-build.","Mostly supported, framing matters: every key is bound to one user, and INDIVIDUAL USER budgets ARE enforced (per-user hourly request + dollar quota at the gateway, org caps above that), so a leaked key can never spend beyond its owner's limits. What does NOT exist is the LiteLLM-style virtual key: one identity holding multiple keys with different budget/rate/model policy per key."
REQ-023,Enterprise SSO Provisioning,"As a Business, I shall be able to onboard and offboard access to AI capabilities through the existing identity provider (SSO), not ad-hoc key distribution, so that access management centrally managed",Identity & Access / Security,Global / Enterprise,Oleksandr Manatskyi,P1 – High,Access management centrally managed.,Users are onboarded/offboarded through the enterprise identity provider; access removal in the IdP removes SystemPrompt access without manual key cleanup.,Supported,"OAuth2/OIDC with PKCE, WebAuthn, and session/IdP-backed access are evidenced.",Integrate with Astound IdP and validate provisioning/deprovisioning flows.,"Ed / SystemPrompt, Astound",Open,SSO login + deprovisioning test,https://astound.systemprompt.io/documentation/enterprise-user-access,DECISION NEEDED: confirm the enterprise identity provider going forward - Salesforce? Okta? Entra? GitHub? Today only Salesforce is wired; a different IdP is a new connector (and re-opens SCIM as the right offboarding channel). This decision also drives REQ-007/008: which external platforms hold user activity and how we map their identities to platform users.,"Delivered for Salesforce: OIDC+PKCE SSO with gated JIT provisioning, plus a reconciliation job - a user deactivated/removed in Salesforce is disabled here with sessions and PATs revoked (offboarding closes automatically). SCIM deliberately not built: Salesforce does not push standards SCIM and Odoo has none, so an endpoint would have no caller."
REQ-024,Shadow AI Detection & Blocking,"As a Business, I shall be able to detect and block unauthorized or shadow AI usage, so that ungoverned model usage doesn't create data leakage, compliance, or cost exposure outside IT/security visibility",Identity & Access / Security,Global / Enterprise,Oleksandr Manatskyi,P1 – High,"Ungoverned model usage doesn't create data leakage, compliance, or cost exposure outside IT/security visibility.","Unauthorized or unmanaged AI use can be detected and, where policy requires, blocked or escalated through the governed platform.",Supported,Governance/audit enforcement and managed allowlists provide a foundation for detecting and restricting ungoverned use.,Define detection coverage for direct/non-gateway AI use and determine enforcement controls outside SystemPrompt.,"Ed / SystemPrompt, Astound",Open,Governed vs ungoverned traffic detection test,https://astound.systemprompt.io/documentation/enterprise-model-routing,Blocking direct provider access (shadow AI off-gateway) is a network/egress control for Astound IT - e.g. egress allow-lists to api.anthropic.com etc. only from the gateway. Happy to advise on the pattern.,"Delivered on the governed side - unlisted models are refused, route entitlements enforced, everything audited. Traffic that never touches the gateway cannot be detected from inside the platform."
REQ-025,Time-Bound External Access,"As a Business, I shall be able to grant time-bound or scoped access to specific models for contractors or external teams, so that external access automatically expires without relying on manual revocation discipline",Identity & Access / Security,Global / Enterprise,Oleksandr Manatskyi,P2 – Medium,External access automatically expires without relying on manual revocation discipline.,External/contractor access can be scoped and configured to expire automatically at a defined time without manual revocation.,Partial,"Token expiration/revocation exists, but no dedicated scoped time-bound entitlement lifecycle object was evidenced.",Add explicit expiring grants/entitlements if token expiry is insufficient for contractor governance.,"Ed / SystemPrompt, Astound",Open,Timed-access expiry test,https://astound.systemprompt.io/documentation/enterprise-user-access,Tell us the required contractor-access TTL and we enforce a maximum PAT lifetime. Time-bound entitlement rows (grant valid_until) are a small core follow-up if token expiry is not sufficient.,Partially delivered - share links now expire (30-day signed TTL) on top of the existing bounded invites/setup tokens/JWTs; PAT expiry is supported but optional.
REQ-026,Immutable AI Audit Trail,"As a Business, I shall be able to produce an immutable audit trail of every model call (who, what model, what prompt, when, what was returned), so that the org can reconstruct incidents after the fact or demostrate compliance",Observability / Security,Global / Enterprise,Oleksandr Manatskyi,P1 – High,The org can reconstruct incidents after the fact or demostrate compliance.,"Every model call produces an immutable audit record containing actor, time, model/provider, request/response lineage, policy decision, and relevant consumption metadata.",Supported,AI request and governance decision records provide detailed traceable audit data.,"Validate retention, immutability, payload protection, and audit export requirements.","Ed / SystemPrompt, Astound",Open,Audit completeness + tamper/retention review,https://astound.systemprompt.io/documentation/enterprise-audit-observability,"DECISION NEEDED: which compliance regime must this satisfy? That picks the hardening (DB-role REVOKE, hash-chaining, or WORM export) and the retention window. Options are scoped and costed in the design note.","Delivered with a stated caveat: every model call lands a full audit row (actor locked at DB level, model, tokens, cost, latency, trace ids) and governance decisions share the spine. It is append-only by convention, not cryptographically immutable, and ai_requests has no retention policy yet."
REQ-027,End-to-End AI Request Traceability,"As a Business, I shall be able to trace end-to-end request flows across model calls, tool invocations, and downstream systems, so that root-cause analysis doesn't require manual log correlation across disconnected systems",Observability / Security,Global / Enterprise,Oleksandr Manatskyi,P1 – High,Root-cause analysis doesn't require manual log correlation across disconnected systems.,"A single trace identifier correlates the originating request, model calls, tool/MCP calls, downstream actions, outcomes, and cost.",Supported,"Trace IDs correlate inference and tool/MCP execution, enabling end-to-end lineage.","Run trace-lineage tests across model, MCP/tool, and downstream system calls.","Ed / SystemPrompt, Astound",Open,Trace propagation / lineage test,https://astound.systemprompt.io/documentation/enterprise-audit-observability,,"Delivered - one trace id correlates request -> policy decision -> model call -> tool execution -> cost, with a universal chain resolver in the admin UI."
REQ-028,Enterprise Observability Export,"As a Business, I shall be able to feed AI telemetry into the existing observability stack (Datadog, Splunk, LGTM) via OTEL as a single standard protocol, so that AI operations are monitored with the same tooling and on-call processes as the rest of production",Observability / Security,Global / Enterprise,Oleksandr Manatskyi,P1 – High,AI operations are monitored with the same tooling and on-call processes as the rest of production.,AI telemetry can be exported into Astound's standard observability/SIEM stack using an agreed supported protocol and mapped into existing monitoring processes.,Partial,Structured SIEM/observability export is evidenced; a distinct OTEL implementation path requires validation.,Confirm OTEL compatibility; otherwise standardize supported JSON/SIEM export integration.,"Ed / SystemPrompt, Astound",Open,Telemetry export integration test,https://astound.systemprompt.io/documentation/enterprise-audit-observability,"DECISION NEEDED: name the target - Datadog, Splunk, or LGTM. Whichever you name gets its exporter built first (~1-2 wks); building all three unprompted is waste.",Partially delivered - OTLP ingest and a live JSON audit stream (SSE) exist; there is no push exporter to an external stack yet.
REQ-029,Model / Use-Case Latency SLOs,"As a Business, I shall be able to report on latency SLOs per model and per use case, so that routing and provider decisions are made on measured performance rather than vendor claims",Observability / Security,Global / Enterprise,Oleksandr Manatskyi,P3 – Low,Routing and provider decisions are made on measured performance rather than vendor claims.,"Latency can be reported against defined SLOs by model and use case, with sufficient data to compare providers/routes objectively.",Partial,"Latency is captured, but use-case SLO definition, thresholding, and SLO-specific reporting are not productized.",Define latency SLOs and add SLO reporting/alerting by model/use-case.,"Ed / SystemPrompt, Astound",Open,Latency SLO report + threshold test,https://astound.systemprompt.io/documentation/enterprise-audit-observability,Per-use-case SLO taxonomy and error-budget alerting need Astound's SLO definitions - send target latencies per workload class.,"Delivered - the latency SLO threshold is configurable (was hardcoded 5s), with breach share reported beside p50/p95 per scope."
REQ-030,Central Content Safety Guardrails,"As a Business, I shall be able to apply consistent content safety guardrails (prompt injection detection, jailbreak attempts, toxic output blocking) regardless of which team built the application, so that security and brand-risk controls aren't dependent on individual team diligence",Observability / Security,Global / Enterprise,Oleksandr Manatskyi,P1 – High,Security and brand-risk controls aren't dependent on individual team diligence.,"A centrally managed safety policy is enforced consistently for all governed applications and detects/blocks agreed categories such as prompt injection, jailbreak attempts, secrets, PII, and unsafe output.",Partial,Code evidences jailbreak and limited PII heuristics plus pre-dispatch blocking. Full toxicity/PII taxonomy and response-side blocking are not evidenced.,Define required safety taxonomy and extend prompt/output guardrails beyond current heuristic coverage.,"Ed / SystemPrompt, Astound",Open,Safety adversarial test suite,https://astound.systemprompt.io/documentation/enterprise-safety-guardrails,"DECISION NEEDED: sign off the category set - which categories must BLOCK vs audit-only, and is toxicity/brand-risk classification in scope (that needs a classifier, not a heuristic)? We shipped sensible defaults; review them against your policy.","Partially delivered and now ENABLED - jailbreak heuristics, credit-card/SSN detection and secret egress scanning run centrally; ingress blocks, buffered egress blocks, streamed egress is audit-only by design."
